exp_tag,steps,scale,decay,tp,fp,fn,precision,recall,f1,avg_iou,mean_best_iog,coverage_iog50,coverage_iog80,coverage_iog95,mean_best_iou_gt
steps450_scale0.5_decay0.05,450,0.5,0.05,3,8,43,0.2727272727272727,0.06521739130434782,0.10526315789473684,0.72938676280907,0.6626272506228925,0.7096774193548387,0.5806451612903226,0.4838709677419355,0.10639460419367626
steps900_scale0.5_decay0.05,900,0.5,0.05,3,11,43,0.21428571428571427,0.06521739130434782,0.1,0.7400266897851563,0.658605224182878,0.7096774193548387,0.6129032258064516,0.4838709677419355,0.10765690556297766
steps1800_scale0.5_decay0.05,1800,0.5,0.05,3,5,43,0.375,0.06521739130434782,0.11111111111111109,0.7239636520270206,0.6599893560554115,0.7096774193548387,0.5806451612903226,0.4838709677419355,0.10640271674255733
steps3600_scale0.5_decay0.05,3600,0.5,0.05,4,3,42,0.5714285714285714,0.08695652173913043,0.15094339622641512,0.677241301307141,0.6406930956292656,0.6774193548387096,0.6129032258064516,0.4838709677419355,0.10724217046808517
steps5400_scale0.5_decay0.05,5400,0.5,0.05,4,3,42,0.5714285714285714,0.08695652173913043,0.15094339622641512,0.6819463259060559,0.6687033509787305,0.7096774193548387,0.6451612903225806,0.45161290322580644,0.10687111098748482
steps7200_scale0.5_decay0.05,7200,0.5,0.05,3,2,43,0.6,0.06521739130434782,0.11764705882352941,0.7305096665122072,0.6645441479071136,0.7096774193548387,0.6129032258064516,0.4838709677419355,0.10691478120174096
steps9000_scale0.5_decay0.05,9000,0.5,0.05,3,4,43,0.42857142857142855,0.06521739130434782,0.11320754716981131,0.7315500693502651,0.661771195820306,0.7096774193548387,0.5806451612903226,0.4838709677419355,0.10671024366896545
steps300_scale1_decay0.05,300,1.0,0.05,4,7,42,0.36363636363636365,0.08695652173913043,0.14035087719298245,0.7077443452527369,0.6773487352739098,0.7096774193548387,0.6451612903225806,0.5161290322580645,0.11216251220673151
steps450_scale1_decay0.05,450,1.0,0.05,3,7,43,0.3,0.06521739130434782,0.10714285714285714,0.7556903313551454,0.6713689759255173,0.7096774193548387,0.6451612903225806,0.4838709677419355,0.11033052761604863
steps900_scale1_decay0.05,900,1.0,0.05,3,6,43,0.3333333333333333,0.06521739130434782,0.10909090909090909,0.7691548118841761,0.6708229475550908,0.7096774193548387,0.6129032258064516,0.4838709677419355,0.11273354780967954
steps1800_scale1_decay0.05,1800,1.0,0.05,4,4,42,0.5,0.08695652173913043,0.14814814814814817,0.7116602810113809,0.6664238664148358,0.7096774193548387,0.6129032258064516,0.4838709677419355,0.11233046382338092
steps3600_scale1_decay0.05,3600,1.0,0.05,4,3,42,0.5714285714285714,0.08695652173913043,0.15094339622641512,0.7260575314437527,0.6699228968686668,0.7096774193548387,0.6129032258064516,0.4838709677419355,0.11331116952812223
steps5400_scale1_decay0.05,5400,1.0,0.05,3,4,43,0.42857142857142855,0.06521739130434782,0.11320754716981131,0.7486545263271043,0.6601412406073519,0.7096774193548387,0.6129032258064516,0.45161290322580644,0.1081452631390196
steps7200_scale1_decay0.05,7200,1.0,0.05,3,5,43,0.375,0.06521739130434782,0.11111111111111109,0.7458904222194026,0.6700135601670956,0.7096774193548387,0.6451612903225806,0.4838709677419355,0.11129692907362457
steps9000_scale1_decay0.05,9000,1.0,0.05,4,1,42,0.8,0.08695652173913043,0.1568627450980392,0.7327756693483056,0.6712639023334258,0.7096774193548387,0.6129032258064516,0.5161290322580645,0.11503456572808067
steps300_scale1.5_decay0.05,300,1.5,0.05,3,9,43,0.25,0.06521739130434782,0.10344827586206896,0.7597630120565949,0.6765941742999507,0.7096774193548387,0.6451612903225806,0.5161290322580645,0.11256316613841583
steps450_scale1.5_decay0.05,450,1.5,0.05,3,7,43,0.3,0.06521739130434782,0.10714285714285714,0.7828924968932004,0.6666631224642618,0.7096774193548387,0.6451612903225806,0.4838709677419355,0.11308371620499359
steps900_scale1.5_decay0.05,900,1.5,0.05,3,3,43,0.5,0.06521739130434782,0.11538461538461539,0.7556955702634193,0.6723747314257573,0.7096774193548387,0.6451612903225806,0.45161290322580644,0.1111428488170157
steps1800_scale1.5_decay0.05,1800,1.5,0.05,4,3,42,0.5714285714285714,0.08695652173913043,0.15094339622641512,0.6915506523614194,0.6713750697657054,0.7096774193548387,0.6451612903225806,0.5161290322580645,0.10949392851834062
steps3600_scale1.5_decay0.05,3600,1.5,0.05,4,2,42,0.6666666666666666,0.08695652173913043,0.15384615384615383,0.7005543082908627,0.6698508326349215,0.7096774193548387,0.6451612903225806,0.4838709677419355,0.11162986253618988
steps5400_scale1.5_decay0.05,5400,1.5,0.05,4,6,42,0.4,0.08695652173913043,0.14285714285714285,0.7171046782058151,0.6692422143039991,0.7096774193548387,0.6451612903225806,0.45161290322580644,0.11191127783020763
steps7200_scale1.5_decay0.05,7200,1.5,0.05,4,4,42,0.5,0.08695652173913043,0.14814814814814817,0.7115233763126174,0.6696380650320051,0.7096774193548387,0.6451612903225806,0.45161290322580644,0.11110655351362576
steps9000_scale1.5_decay0.05,9000,1.5,0.05,4,2,42,0.6666666666666666,0.08695652173913043,0.15384615384615383,0.7055651659366402,0.6702408601894034,0.7096774193548387,0.6451612903225806,0.4838709677419355,0.11034267806107653
steps300_scale0.5_decay0.1,300,0.5,0.1,3,10,43,0.23076923076923078,0.06521739130434782,0.10169491525423728,0.7249577164193548,0.6478757060101077,0.6774193548387096,0.5806451612903226,0.4838709677419355,0.10580540133379152
steps450_scale0.5_decay0.1,450,0.5,0.1,3,13,43,0.1875,0.06521739130434782,0.09677419354838708,0.723466341556177,0.6494965338275817,0.7096774193548387,0.5806451612903226,0.41935483870967744,0.10559283966046412
steps900_scale0.5_decay0.1,900,0.5,0.1,3,9,43,0.25,0.06521739130434782,0.10344827586206896,0.727167218337995,0.6696828378878037,0.7096774193548387,0.6451612903225806,0.5161290322580645,0.10606656579565692
steps1800_scale0.5_decay0.1,1800,0.5,0.1,4,6,42,0.4,0.08695652173913043,0.14285714285714285,0.6875300358254038,0.6449499367860473,0.6774193548387096,0.6129032258064516,0.5161290322580645,0.10797359881477109
steps3600_scale0.5_decay0.1,3600,0.5,0.1,4,4,42,0.5,0.08695652173913043,0.14814814814814817,0.6830533201883298,0.6694228060323095,0.7096774193548387,0.6451612903225806,0.4838709677419355,0.10777152850120564
steps5400_scale0.5_decay0.1,5400,0.5,0.1,4,4,42,0.5,0.08695652173913043,0.14814814814814817,0.7005971172689572,0.6674927177845786,0.7096774193548387,0.6129032258064516,0.4838709677419355,0.1086901191044917
steps7200_scale0.5_decay0.1,7200,0.5,0.1,3,5,43,0.375,0.06521739130434782,0.11111111111111109,0.7348385760437632,0.6712274012835668,0.7096774193548387,0.6451612903225806,0.5161290322580645,0.10716628803868514
steps9000_scale0.5_decay0.1,9000,0.5,0.1,3,7,43,0.3,0.06521739130434782,0.10714285714285714,0.732297623983787,0.6663936777401528,0.7096774193548387,0.6129032258064516,0.4838709677419355,0.10678869056177918
steps300_scale1_decay0.1,300,1.0,0.1,3,7,43,0.3,0.06521739130434782,0.10714285714285714,0.750127923623061,0.668854096026061,0.7096774193548387,0.6129032258064516,0.45161290322580644,0.1097045445960157
steps450_scale1_decay0.1,450,1.0,0.1,3,11,43,0.21428571428571427,0.06521739130434782,0.1,0.7597737107150985,0.6645390693678492,0.6774193548387096,0.6451612903225806,0.4838709677419355,0.11436904349895782
steps900_scale1_decay0.1,900,1.0,0.1,3,6,43,0.3333333333333333,0.06521739130434782,0.10909090909090909,0.7683788745744028,0.6722163785671075,0.7096774193548387,0.6451612903225806,0.4838709677419355,0.11380378904989287
steps1800_scale1_decay0.1,1800,1.0,0.1,3,7,43,0.3,0.06521739130434782,0.10714285714285714,0.7717081890113352,0.6703186929782001,0.7096774193548387,0.6129032258064516,0.4838709677419355,0.11481579787176631
steps3600_scale1_decay0.1,3600,1.0,0.1,3,7,43,0.3,0.06521739130434782,0.10714285714285714,0.7730058396014389,0.6656729974996326,0.7096774193548387,0.6451612903225806,0.45161290322580644,0.11302418890432801
steps5400_scale1_decay0.1,5400,1.0,0.1,4,5,42,0.4444444444444444,0.08695652173913043,0.14545454545454548,0.7118225733144956,0.6748700037099824,0.7096774193548387,0.6451612903225806,0.5161290322580645,0.11210268142187906
steps7200_scale1_decay0.1,7200,1.0,0.1,3,5,43,0.375,0.06521739130434782,0.11111111111111109,0.7470709823125757,0.6732218056182452,0.7096774193548387,0.6451612903225806,0.5161290322580645,0.10916165826908361
steps9000_scale1_decay0.1,9000,1.0,0.1,3,8,43,0.2727272727272727,0.06521739130434782,0.10526315789473684,0.7434756168308527,0.6440373478017961,0.6774193548387096,0.6129032258064516,0.4838709677419355,0.10947823740823463
steps300_scale1.5_decay0.1,300,1.5,0.1,3,8,43,0.2727272727272727,0.06521739130434782,0.10526315789473684,0.7612467520455343,0.6727435102579021,0.7096774193548387,0.6451612903225806,0.4838709677419355,0.11412537674361105
steps450_scale1.5_decay0.1,450,1.5,0.1,4,4,42,0.5,0.08695652173913043,0.14814814814814817,0.7241585239693802,0.671579925047961,0.7096774193548387,0.6451612903225806,0.4838709677419355,0.11864192188144129
steps900_scale1.5_decay0.1,900,1.5,0.1,3,8,43,0.2727272727272727,0.06521739130434782,0.10526315789473684,0.7553942313555669,0.6408656345982687,0.6774193548387096,0.5806451612903226,0.4838709677419355,0.11130186140370882
steps1800_scale1.5_decay0.1,1800,1.5,0.1,3,9,43,0.25,0.06521739130434782,0.10344827586206896,0.7551108764637778,0.6708129936282664,0.7096774193548387,0.6451612903225806,0.4838709677419355,0.11181425248004295
steps3600_scale1.5_decay0.1,3600,1.5,0.1,3,6,43,0.3333333333333333,0.06521739130434782,0.10909090909090909,0.7503285035501195,0.676076699018902,0.7096774193548387,0.6451612903225806,0.5161290322580645,0.11018963135845095
steps5400_scale1.5_decay0.1,5400,1.5,0.1,3,6,43,0.3333333333333333,0.06521739130434782,0.10909090909090909,0.7589600234129926,0.6712954900585199,0.7096774193548387,0.6451612903225806,0.4838709677419355,0.11040147116159779
steps7200_scale1.5_decay0.1,7200,1.5,0.1,4,7,42,0.36363636363636365,0.08695652173913043,0.14035087719298245,0.7093309644846337,0.6707080387720804,0.7096774193548387,0.6451612903225806,0.45161290322580644,0.1105186254756883
steps9000_scale1.5_decay0.1,9000,1.5,0.1,3,9,43,0.25,0.06521739130434782,0.10344827586206896,0.7529239724781944,0.6467862040419325,0.6774193548387096,0.6129032258064516,0.5161290322580645,0.11190083071672818
steps300_scale0.5_decay0.5,300,0.5,0.5,4,5,42,0.4444444444444444,0.08695652173913043,0.14545454545454548,0.6936192383444817,0.6681611004706055,0.7096774193548387,0.6129032258064516,0.5161290322580645,0.10951255947145518
steps450_scale0.5_decay0.5,450,0.5,0.5,3,9,43,0.25,0.06521739130434782,0.10344827586206896,0.715252367498318,0.671029317954263,0.7096774193548387,0.6451612903225806,0.5161290322580645,0.10504430295104387
steps900_scale0.5_decay0.5,900,0.5,0.5,4,5,42,0.4444444444444444,0.08695652173913043,0.14545454545454548,0.7010570544197119,0.6453806860701243,0.6774193548387096,0.6129032258064516,0.5161290322580645,0.11123054227510579
steps1800_scale0.5_decay0.5,1800,0.5,0.5,4,8,42,0.3333333333333333,0.08695652173913043,0.13793103448275862,0.6881360971382913,0.6690308927102825,0.7096774193548387,0.6451612903225806,0.5161290322580645,0.10824212724242992
steps3600_scale0.5_decay0.5,3600,0.5,0.5,3,9,43,0.25,0.06521739130434782,0.10344827586206896,0.7359620202012215,0.622646211188746,0.6451612903225806,0.5483870967741935,0.45161290322580644,0.10522233098543321
steps5400_scale0.5_decay0.5,5400,0.5,0.5,4,9,42,0.3076923076923077,0.08695652173913043,0.13559322033898305,0.7092342862226099,0.6732838173397044,0.7096774193548387,0.6451612903225806,0.5161290322580645,0.1123944239225817
steps7200_scale0.5_decay0.5,7200,0.5,0.5,3,8,43,0.2727272727272727,0.06521739130434782,0.10526315789473684,0.7321519988166955,0.6620680434867002,0.7096774193548387,0.6129032258064516,0.4838709677419355,0.10619319106391488
