exp_tag,steps,scale,decay,tp,fp,fn,precision,recall,f1,avg_iou,mean_best_iog,coverage_iog50,coverage_iog80,coverage_iog95,mean_best_iou_gt
steps450_scale1_decay0.05,450,1.0,0.05,0,1,7,0.0,0.0,0,0,3.613149296940376e-05,0.0,0.0,0.0,3.613149296940376e-05
steps900_scale1_decay0.05,900,1.0,0.05,0,1,7,0.0,0.0,0,0,0.006913295899707161,0.0,0.0,0.0,0.00042868277245621856
steps1800_scale1_decay0.05,1800,1.0,0.05,0,1,7,0.0,0.0,0,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0003895381618275873
steps3600_scale1_decay0.05,3600,1.0,0.05,0,4,7,0.0,0.0,0,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.00027025374863636436
steps5400_scale1_decay0.05,5400,1.0,0.05,0,3,7,0.0,0.0,0,0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0005614217274172025
steps7200_scale1_decay0.05,7200,1.0,0.05,0,4,7,0.0,0.0,0,0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0004362436650182477
steps9000_scale1_decay0.05,9000,1.0,0.05,0,6,7,0.0,0.0,0,0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0004467983632293786
steps300_scale1.5_decay0.05,300,1.5,0.05,0,0,7,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
steps450_scale1.5_decay0.05,450,1.5,0.05,0,0,7,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
steps900_scale1.5_decay0.05,900,1.5,0.05,0,1,7,0.0,0.0,0,0,3.613149296940376e-05,0.0,0.0,0.0,3.613149296940376e-05
steps1800_scale1.5_decay0.05,1800,1.5,0.05,0,2,7,0.0,0.0,0,0,0.1190494859526363,0.14285714285714285,0.14285714285714285,0.0,0.0004951295553955489
steps3600_scale1.5_decay0.05,3600,1.5,0.05,0,4,7,0.0,0.0,0,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.00028241516732500075
steps5400_scale1.5_decay0.05,5400,1.5,0.05,0,5,7,0.0,0.0,0,0,0.3658604690634443,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0006289458236579424
steps7200_scale1.5_decay0.05,7200,1.5,0.05,0,6,7,0.0,0.0,0,0,0.3158772850303097,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.00035480469650813254
steps9000_scale1.5_decay0.05,9000,1.5,0.05,0,4,7,0.0,0.0,0,0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0004059080264948288
steps300_scale0.5_decay0.1,300,0.5,0.1,0,0,7,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
steps450_scale0.5_decay0.1,450,0.5,0.1,0,1,7,0.0,0.0,0,0,3.613149296940376e-05,0.0,0.0,0.0,3.613149296940376e-05
steps900_scale0.5_decay0.1,900,0.5,0.1,0,1,7,0.0,0.0,0,0,3.613149296940376e-05,0.0,0.0,0.0,3.613149296940376e-05
steps1800_scale0.5_decay0.1,1800,0.5,0.1,0,3,7,0.0,0.0,0,0,3.613149296940376e-05,0.0,0.0,0.0,3.613149296940376e-05
steps3600_scale0.5_decay0.1,3600,0.5,0.1,0,2,7,0.0,0.0,0,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.00048276096978632605
steps5400_scale0.5_decay0.1,5400,0.5,0.1,0,3,7,0.0,0.0,0,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0002579133948173523
steps7200_scale0.5_decay0.1,7200,0.5,0.1,0,3,7,0.0,0.0,0,0,0.1596716909177016,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0003249700628012842
steps9000_scale0.5_decay0.1,9000,0.5,0.1,0,3,7,0.0,0.0,0,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0003283897294476753
steps300_scale1_decay0.1,300,1.0,0.1,0,0,7,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
steps450_scale1_decay0.1,450,1.0,0.1,0,1,7,0.0,0.0,0,0,3.613149296940376e-05,0.0,0.0,0.0,3.613149296940376e-05
steps900_scale1_decay0.1,900,1.0,0.1,0,1,7,0.0,0.0,0,0,3.613149296940376e-05,0.0,0.0,0.0,3.613149296940376e-05
steps1800_scale1_decay0.1,1800,1.0,0.1,0,1,7,0.0,0.0,0,0,0.05334466730271662,0.0,0.0,0.0,0.0005240413484679795
steps3600_scale1_decay0.1,3600,1.0,0.1,0,2,7,0.0,0.0,0,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0006346408254494399
steps5400_scale1_decay0.1,5400,1.0,0.1,0,3,7,0.0,0.0,0,0,0.23875561353770428,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0005292827455495856
steps7200_scale1_decay0.1,7200,1.0,0.1,0,3,7,0.0,0.0,0,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0003765535564333343
steps9000_scale1_decay0.1,9000,1.0,0.1,0,3,7,0.0,0.0,0,0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0006160166229711908
steps300_scale1.5_decay0.1,300,1.5,0.1,0,0,7,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
steps450_scale1.5_decay0.1,450,1.5,0.1,0,1,7,0.0,0.0,0,0,3.613149296940376e-05,0.0,0.0,0.0,3.613149296940376e-05
steps900_scale1.5_decay0.1,900,1.5,0.1,0,1,7,0.0,0.0,0,0,3.613149296940376e-05,0.0,0.0,0.0,3.613149296940376e-05
steps1800_scale1.5_decay0.1,1800,1.5,0.1,0,3,7,0.0,0.0,0,0,0.00018471728673185458,0.0,0.0,0.0,0.0001718966958311585
steps3600_scale1.5_decay0.1,3600,1.5,0.1,0,2,7,0.0,0.0,0,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0002881787421683681
steps5400_scale1.5_decay0.1,5400,1.5,0.1,0,3,7,0.0,0.0,0,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0003842383228911575
steps7200_scale1.5_decay0.1,7200,1.5,0.1,0,2,7,0.0,0.0,0,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0004954652058333346
steps9000_scale1.5_decay0.1,9000,1.5,0.1,0,3,7,0.0,0.0,0,0,0.21639144546438957,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0005258205649806584
